下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
やだやだぁ～っ……ご主人様とぉ、エッチな事もしたいのぉ、したいしたい～っ……	(이)나다나다~……주인님과 , 음란한 일도 하고 싶은 것 , 하고 싶고 싶은~……
お姉ちゃんに……エッチな事、して……？　はぁ、はうっ……はしたないお姉ちゃんでごめん……でも、してほしくってしょうがなくなってるからぁっ……	언니에게……음란한 일, 해……?　후~, ……상스러운 언니로 미안……에서도, 해 주었으면 해서 어쩔 수 없게 되고 있으니……
ご主人様のおちんちん……ほしいなぁ……んぅんっ……はぁ、はぁ、お姉ちゃん、セックスしたいようっ……んぅん……	주인님의 자지……가지고 싶다……응응……후~, 후~, 언니, 섹스 하고 싶게 ……응응……
あのね、ご主人様とセックスしてる時もぉ……キスと同じぐらい……し、幸せななのぉ……だから、だからっ……	저기요, 주인님과 섹스 하고 있는 때도 ……키스와 같은 정도……해, 행복한인 것 ……이니까, 그러니까 ……
はぁ……はぁ……しょうがない私に……んぅっ……おちんちんください……お姉ちゃんを、幸せに……してほしいのぉ……んぅんっ……	후~……후~……어쩔 수 없는 나에게…………자지 주세요……언니를, 행복하게……해 주었으면 하는 것 ……응응……
ああっ……！　ひぐっ、ひぃいっ……！　嬉しいよぉ……ご、ご主人様っ……もっとぉっ……	아 ……!　, 히있고 ……!　기뻐 ……, 주인님……좀 더 ……
はぁ、はぁっ……おちんちん、がちがちっ……ぁあ、これ、これっ……好きぃっ……幸せぇ……はぁ、はひっ……！	후~, 후~……자지, 딱딱 ……, 이것, 이것……를 좋아하는 사람……행복……후~, 는 히……!
あぅっ……ご、ごめんねっ……お姉ちゃん、おちんちん欲しくてぇ……何も考えてなかったぁ……はぅうんっ……	아……, 미안해요……언니, 자지 갖고 싶어서 ……아무것도 생각하지 않았다……는 응 ……
ああ、わたしね、セックスの事しか考えてなくてぇ……ご主人様以外には見られたくないのにぃ……はぁあん……	아, 나, 섹스의 일 밖에 생각하지 않아서 ……주인님 이외에는 볼 수 있고 싶지 않은데 ……후~ 팥고물……
おさけ、のみすぎちゃってるから……！　はぁ、はうっ、ひゃうっ、はあぁっ！　ごめんねっ！　はぁ、はううっ！	술, 너무 마셔 버린다 로부터……!　후~, , , 는!　미안해요!　후~, 는 우우!
お姉ちゃん、幸せなのぉっ！　はぁ、はぁっ……お客様となら、んっ！　どこでだってぇ、んぅっ、一緒にぃ、はぁあっ……！	언니, 행복한!　후~, 후~……손님과라면, 응!　어디서래 , 응, 함께 , 후~아……!
お姉ちゃん……！　はぁ、はひっ……熱いのちょうだい……はぁ、はひっ……！　おちんちん奥にぐりぐりしてぇっ……！	언니……!　후~, 는 히……뜨거운 것 줘……후~, 는 히……!　자지안쪽에 때굴때굴 해 ……!
激しくて……！　おまんこぉ、やけどしちゃうよぉっ……！　ん！　んぅっ、はぁ、はひっ……！　ひぐぅっ！　	격렬해서……!　보지, 화상 해버린다……!　응!　응, 후~, 는 히……!　!　
あああ、お姉ちゃんっ！　お姉ちゃん……お姉ちゃん……も、もうだめぇっ……お姉ちゃん、こわれちゃうよぉ……んぅんっ…	아 아, 언니!　언니……언니……도, 이제(벌써) 안돼……언니, 부서져버린다……응응…
ああっ……えへへぇ……お姉ちゃん、とっても幸せぇ……はぁ、はひっ……ひぃいんっ……あのね……んっ……身体、熱いの……	아 ……네에에 ……언니, 매우 행복……후~, 는 히……히있는 ……저기요……응……신체, 뜨거운거야……
はぁ、はぁ……このあともね……お姉ちゃん、もっと、もっとしたいの……ご主人様ぁ……甘えてもいいかなぁ……？	후~, 후~……이후에도……언니, 좀 더, 좀 더 하고 싶은 것……주인님……응석부려도 괜찮을까……?
え？　健康診断？　まったく心当たりがないんだけど……	에? 건강검진? 전혀 짚이는 것이 없지만……
きゃああああっ！？　何見てんのよ！　ありえない！　信じられない！　ばかばかばかっ！	꺄아아아앗!? 뭘 보고있는거얏! 말도안되! 믿을수가 없어! 바보바보바봇!
ははは、今日はエイプリルフールだよ。	하하하, 오늘은 만우절이야.
なっ……！？　あ、そうか……くぅ、悪趣味よ。女の子のトップシークレットを何だと思ってるのよ。	뭣……!? 아, 그런가…… 큿, 악취미야. 여자의 일급 비밀을 뭐라고 생각하는거야.
べ、別に、その……ご主人様なんか意識してないけど……体重は、うぅっ……	벼, 별로, 그…… 주인님같은건 의식하지 않았지만…… 체중은, 우으으……
……そんなに？	……그렇게나?
違うのよ！　ただ知られたくないの！　ばか！	그런게 아니야! 그냥 알려주기 싫은거야! 바보!
ご主人様、アタシ、今日誕生日なの。	주인님, 나 오늘 생일이야.
あれっ？　そうだったっけ？　ごめん、忘れてて……	어랏? 그랬던가? 미안, 잊어 버려서……
別にいいわよ。でも、今からどこかに遊びに行きたいの。だめ？	별로 신경쓰지마. 그래도, 지금부터 어딘가로 놀라가고 싶어. 안돼?
わかった。行くよ。準備しよう。	알겠어. 가자. 준비한다.
まあ、嘘なんだけどね……。	뭐, 거짓말이지만 말이지…….
ん？　何か言った？	응? 뭔가 말했어?
今日誕生日っていうのだけ、嘘よ。さ、アタシも準備するから、早く行きましょ？	오늘 생일이라는거, 거짓말이야. 그럼, 나도 준비할테니까, 얼른 갈까요?
……ねぇ、ご主人様。メイド秘書から聞いていると思うのだけれど……	……저기, 주인님. 메이드 비서에게 들었다고 생각하지만……
私……猫カフェのオーナーになろうと思って、しばらくの間、勉強する時間が欲しいの。	나…… 고양이 카페의 주인이 되려고 생각해서, 한동안, 공부할 시간이 필요해.
ごめん、ご主人様。私も色々考えたのだけれど……	미안, 주인님. 저도 여러가지 생각했지만……
私は本気。にゃんにゃんしたいの……	나는 진심이야. 냥냥 하고 싶은거야……
そう……。ふふっ、ふふふっ……	그래……. 후훗, 후후훗……
いいえ、そうじゃなくて。今日、何の日だか覚えているかしら。	아녜요, 그게 아니라. 오늘이, 무슨날인지 기억하고 있을까.
……何の日？　えっと…………あっ！	……무슨날? 그러니까…… 앗!
そう、エイプリルフールよ。というわけで、さっきのは嘘だから。それじゃあね、ご主人様。	그래, 만우절이야. 그런거니까, 아까 그건 거짓말이니까. 그럼, 주인님.
え？　なにかしら、ご主人様。	에? 무슨일일까, 주인님.
隠し事とは聞き捨てならないけれど……なにかしら？	숨기고 있던 일이라니 흘려 넘길수는 없겠네…… 무슨일일까?
……もしかしてご主人様、それってエイプリルフールの嘘のつもりかしら？	……혹시 주인님, 그거 만우절 거짓말을 할 속셈인거야?
…………え？	…………에?
私が、その程度の嘘も見抜けないとでも？　私はご主人様の専属なのよ。	내가, 그 정도의 거짓말도 눈치채지 못할거라고? 나는 주인님의 전속이에요.
