いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
でも、似合ってるって言われると、なんだか嬉しいなぁっ……！　それに、その……ご主人様も、元気になってるみたいだしぃ……、そんなの、見せられたら……	그렇지만, 어울린다고 말해지니까, 어쩐지 기뻐……!　게다가, 그……주인님도, 건강하게 되고 있는 것 같고 ……, 그런 것, 보여지면……
大胆になっちゃう？	대담해지는 건가?
なっちゃう、かもぉ……っ。ふふっ、ねえ、ご主人様……？　これから、夜伽……するんだよね？	되어버릴, 지도……. 후후, 저기, 주인님……?　지금부터, 밤시중……하러 가자?
そうだけど、どうして？	그렇지만, 어째서?
こんなえっちな格好してると、いつも通りっていう感じじゃなくて……私も、ちょっと大胆に、えっちに……夜伽、したいなって……。どうかな？	이런 모습 하고 있으면, 언제나대로라고 하는 느낌이 아니고……나도, 조금 대담하게, 에……밤시중, 하고 싶은데……. 어때?
うふふ、そう言ってくれると思ってた。ほらほら、そうと決まれば早く行きましょ？　今日はいっぱい、えっちなお姉ちゃんを見せてあげるから……ね？	후후, 그렇게 말해 준다고 생각했다. 저기저기, 그렇다고 정했으면 빨리 가자?　오늘은 가득, 음란한 누나를 보여줄 테니까……?
うん、楽しみだよ。	응, 기다려져.
じゃじゃーんっ！　ねね、どうかな？	그러면은-응!　근데 아무쪼록인?
おお、エロい！	, 에로 있고!
もー、そういうことじゃないよー？　ほらほら、運動できそうでしょ？	도―, 그런 것이 아니야―？　이봐요 이봐요, 운동할 수 있을 것 같겠지?
ああ、快活ないやらしさが存分に出てるね。	아, 쾌활한 불쾌함이 마음껏 나오고 있구나.
むむ……、どうしてそう、エッチな方向に持って行こうとするのかなぁ……？	……, 어째서 그렇게, 음란한 방향으로 가져 가려고 하는지……?
だって、エロいもの。	왜냐하면, 에로 주물.
あっ、そうだ、ねえご主人様、この格好でマラソンとかしたら気持ちいいと思うの！	아, 그렇다, 응 주인님, 이 모습으로 마라톤이라든지 하면(자) 기분이 좋다고 생각해!
そうだね、いっぱい動いて気持ちよくなりたいね。	그렇다, 가득 움직여 기분 좋아지고 싶다.
もーっ！　そんなずっと言われたら、お姉ちゃんまで恥ずかしくなっちゃうよぉ……	도-!　그런 쭉 말해지면(자), 언니까지 부끄러워져버린다……
まったくもう、最初からそう言ってくれれば、お姉ちゃんも素直に夜伽してあげよっかなー、って思うのになぁ。	완전히 이제(벌써), 최초부터 그렇게 말해 준다면, 언니도 솔직하게 밤시중 해 주어라 일까―, (이)라고 생각하는데.
この格好でしてくれるの？	이 모습으로 하고 주는 거야?
もっと可愛いって言ってくれたらね。	좀 더 사랑스럽다고 말해 주었으면.
ふふっ、言い過ぎだよぉ……、そんなに褒められたら、いっぱいしてあげたくなっちゃう……	후후, 과언이야 ……, 그렇게 칭찬할 수 있으면(자), 가득 해 주고 싶어져버린다……
いやあ可愛い、楽しみだなぁ可愛いなぁ……	야 사랑스러운, 기다려지는구나 사랑스럽다……
ふんふ～ん、ふふふふ～ん♪	~응, 후후 후후~응♪
おお、その服いいね。アイドルみたい。	, 그 옷 좋다. 아이돌 보고 싶다.
えへへ、お姉ちゃん、アイドルになっちゃいました～！　	네에에, 언니, 아이돌이 되어 버렸습니다∼！　
おおーっ、お姉ちゃーん、かわいいよーっ！	오, 언니(누나) (군)양, 귀여워-!
応援ありがとーっ！　お姉ちゃん、いっぱい歌って踊っちゃうよーっ！	응원가와-!　언니, 가득 노래해 춤추어버린다-!
ははは、それにしても本当に可愛いね。テレビ越しに見てるみたいだ。	하하하, 그렇다 치더라도 정말로 사랑스럽다. 텔레비젼 넘어로 보고 있는 것 같다.
うふふ、ねえご主人様、お姉ちゃんが本当にアイドルだったらどうする？	후후, 응 주인님, 언니가 정말로 아이돌이라면 어떻게 해?
そりゃあもう、いっぱいエッチなことするよ。	그렇다면 짜자, 가득 음란한 일 할게.
え～、アイドルはそんなこと、しちゃいけないんだよぉ？	네∼, 아이돌은 그런 일, 하면 안 돼?
だからこそ興奮するんだよ、みんなのアイドルを独り占めするっていいじゃん。	그러니까 흥분해, 모두의 아이돌을 독점한다 라고 좋잖아.
そ、そうなの……？　そんなこと言われたら、お姉ちゃんいっぱいしてあげたくなっちゃうよ？	, 그래……?　그런 일 말해지면(자), 언니 가득 해 주고 싶어져버린다?
いや、俺が上のほうがいいかな。アイドルを好き放題するのが興奮するから。	아니, 내가 위 쪽이 좋을까. 아이돌을 자기 마음대로하는 것이 흥분하기 때문에.
ふふ、すごいこだわりだね？　もしかして、アイドルとか好きなの？	후후, 대단한 조건이구나?　혹시, 아이돌이라든지 좋아해?
いや、アイドルそのものじゃなくて、アイドルになったお姉ちゃんが好きなんだよ。	아니, 아이돌 그 자체가 아니고, 아이돌이 된 언니를 좋아해.
もう、またそんなこと言って……それじゃあ今日はこの格好にするから、いっぱい気持ちよくさせてね……？	이제(벌써), 또 그런 일 말해……그러면 아 오늘은 이 모습으로 하기 때문에, 가득 기분 좋게 시켜……?
どうかなぁ、ご主人様？　この恰好、お姉ちゃんに似合うかな？	어떨까, 주인님?　이 모양, 언니에 어울릴까?
うん、すごく可愛いよ！　なんだかいっぱい応援してもらいたくなっちゃうな。	응, 몹시 사랑스러워!　어쩐지 가득 응원해 주길 바라져버린다.
えへへっ！　ご主人様、がんばれ～っ！　って？　いいよ、ご主人様の為ならお安い御用だよ。	네에에!　주인님, 힘내라~!　라는?　좋아, 주인님이기 때문에라면 문제없음이야.
それに、応援ってだけじゃなくてさ……なんだかその恰好、すごくアイドルっぽい感じがするんだよなぁ。	게다가, 응원은 만이 아니어서 ……어쩐지 그 모양, 몹시 아이돌 같은 느낌이 들어.
アイドル？　ふふっ、お姉ちゃんそう見えるかな？	아이돌?　후후, 언니 그렇게 보일까?
寂しい？　え、どうして？	외로워?　네, 어째서?
だって、アイドルってファンの為に頑張るわけだろ？　そうなると、俺だけのメイドじゃなくなるわけだからさ……	왜냐하면, 아이돌은 팬을 위해 노력하는 것이겠지?　그렇게 되면, 나만의 메이드가 아니게 되는 것이니까 ……
ふふっ、可愛いなぁ、ご主人様は。そんな心配はいらないよ。だって、お姉ちゃんはご主人様だけのメイドだもん！	후후, 사랑스럽다, 주인님은. 그런 걱정은 필요없어. 왜냐하면, 언니는 주인님만의 메이드야!
だから、ご主人様はそんな事考えないでいいの。わかった？	그러니까, 주인님은 그런 일 생각하지 말고 좋은거야. 알았어?
えへへっ、わかればよろしい！　それじゃご奉仕するから。いっぱいいっぱい、気持ち良くするからね？	네에에 , 알면 좋다!　그러면 봉사하기 때문에. 가득 가득, 기분 좋게 하니까요?
あぁ、期待してるよ。	아, 기대하고 있어.
ご主人様がして欲しい事があったら、なんでも遠慮なく言ってね。お姉ちゃん、頑張っちゃうから。	주인님이 해 주었으면 한 일이 있으면, 뭐든지 사양말고 말해. 언니, 노력해버리니까.
